Section,Task,AssignedTo,Priority,Status,Notes
Contract,Validate DB schema,All,High,Todo,
Contract,Define API routes,All,High,Todo,
Contract,Define JSON format,All,High,Todo,
A - DB,Finalize DB schema,Miangola,High,Todo,
A - DB,Write migrations and seeds (5 users,5 regimes,5 activites,15 codes),Miangola,High,Todo,
A - Admin,Admin login & middleware (admin area),Miangola,High,Todo,
A - CRUD,CRUD regimes & activites,Miangola,Medium,Todo,
A - Codes,Manage wallet codes (list/add/validate),Miangola,Medium,Todo,
A - Dashboard,Stats + 2 graphs,Miangola,Medium,Todo,
B - Auth,Registration step 1 (name,email,password),Mahery,High,Todo,
B - Auth,Registration step 2 (height,weight),Mahery,High,Todo,
B - Auth,Login & Logout,Mahery,High,Todo,
B - Profile,Profile page & IMC calculation,Mahery,Medium,Todo,
B - Suggestions,Objectives & suggested regimes/activities,Mahery,Medium,Todo,
B - Export,Export PDF of suggested plan,Mahery,Low,Todo,
C - Wallet,Display user wallet balance,Bolton,High,Todo,
C - Wallet,Recharge via code (AJAX) + validation,Bolton,High,Todo,
C - Purchase,Buy regime (deduct balance + record),Bolton,High,Todo,
C - Gold,Gold option purchase & apply 15% discount,Bolton,Medium,Todo,
C - Tests,Integration tests for recharge->purchase flows,Bolton,Medium,Todo,
Checklist,Seeds loaded in dev,All,Low,Todo,
Checklist,No merge to main; PR to dev only,All,High,Todo,
